n_raters,mean_kappa,sd_across_samples,cv,range_95,range_90,true_kappa
5,0.4166694577652728,0.07103769743027954,0.17048933178658376,0.28036851494348736,0.2382207792059755,0.4
10,0.4146425598149929,0.04994877382877899,0.12046224548455751,0.18713376649328178,0.16255053387647572,0.4
15,0.41683365017868856,0.041002890257951966,0.09836751481166363,0.1649373407165043,0.13605860737539655,0.4
20,0.4172483796266723,0.038512744844515695,0.09230172416481157,0.1491585607343141,0.12220418458998078,0.4
25,0.41624238392671886,0.03563942445634428,0.0856218055454409,0.13952030913888824,0.11611677863555853,0.4
30,0.4170297744324083,0.03166773994559806,0.0759364004373523,0.12494424814454608,0.10418808915890226,0.4
35,0.4155830153325769,0.03249027762591629,0.07817999395359175,0.126782034138692,0.10612406030668314,0.4
40,0.4159275575844214,0.03132069388335674,0.07530324286579529,0.127486507746864,0.09641036742517206,0.4
45,0.41670196904239326,0.02952212046633457,0.07084708655007851,0.11668336617097252,0.09391018364729953,0.4
50,0.41536479272425564,0.031054009201194097,0.07476321957265558,0.1217352993219818,0.09487606278270394,0.4
5,0.5044797867939258,0.07130507922885534,0.1413437784732942,0.2658376115092315,0.23074331052400188,0.5
10,0.502058374698564,0.049264063250145304,0.09812417386668128,0.1918232744970197,0.16040086314215368,0.5
15,0.5037131212976873,0.042158527550023174,0.08369551192435204,0.17052560780242298,0.1401339466243383,0.5
20,0.49987632829820483,0.0404354039958636,0.08089081580142672,0.15351138396576575,0.12994684756237346,0.5
25,0.5011478968829155,0.035766490079639605,0.07136913135244749,0.14773538488443094,0.11541786511540308,0.5
30,0.5019496905310503,0.0348036011510255,0.06933683157410488,0.13241912446015636,0.11207782657913956,0.5
35,0.5012058051125095,0.03228365479683465,0.0644119730209184,0.12685853303240757,0.10508048553171911,0.5
40,0.5037085481277145,0.030348080722538914,0.060249286686403836,0.12266841894630803,0.09788320641119508,0.5
45,0.503567314232312,0.028625638085178214,0.05684570319822679,0.1145424023991542,0.0926284164894744,0.5
50,0.5040462811620121,0.028967772380728663,0.05747046147021914,0.11005249459191341,0.09279784338663216,0.5
5,0.5914058358602521,0.06606746543193193,0.11171256931516571,0.25051861790400204,0.2182439602037966,0.6
10,0.5940692751048559,0.04989838455503856,0.08399421859720194,0.2037547878417148,0.16530365329392982,0.6
15,0.593279161187662,0.04195676381865673,0.07072010372767037,0.16928354256259714,0.1364247756435033,0.6
20,0.5925999533818763,0.03989717609701223,0.06732564838948302,0.15556099328964668,0.12724666754184488,0.6
25,0.5942778039692782,0.035509275614902414,0.05975198026534086,0.14008748596657572,0.11521283160442752,0.6
30,0.5946125918879502,0.03396718321831296,0.057124897255310385,0.1318669967449514,0.10531035802402566,0.6
35,0.593903590849719,0.03328887333949556,0.05605097166000964,0.12709514595866234,0.10431342627529705,0.6
40,0.5934723312315505,0.031239097648550863,0.05263783331520226,0.11852790670873836,0.10008672792599538,0.6
45,0.5942393745714508,0.028913649542803857,0.04865656969239979,0.11571855138844844,0.09718967824301483,0.6
50,0.5967021469111284,0.028854739817611278,0.048357023628924266,0.11388344761289648,0.08968819757967184,0.6
5,0.689209534066406,0.06441701493535071,0.0934650665020314,0.24484698598344923,0.2085670908776579,0.7
10,0.6873778317375808,0.047012901886064336,0.06839455640753393,0.18308336046787455,0.1515769121650542,0.7
15,0.6867155511092108,0.040298871004299255,0.05868349848668329,0.16050743862174488,0.128175323087523,0.7
20,0.6877411953161843,0.0361457944026302,0.0525572623085526,0.14236805721421242,0.1181796963293873,0.7
25,0.6891999046041485,0.03299554539288707,0.04787514503769196,0.1216451970348632,0.10434694282446555,0.7
30,0.6898104722759124,0.031946999216356006,0.046312719943134975,0.11918259221070016,0.09773018371635656,0.7
35,0.6899361630000194,0.029481446548290074,0.04273068745968784,0.11469942114223175,0.09185073636397445,0.7
40,0.6889419206334071,0.02873221352273828,0.0417048413839038,0.11073699899634237,0.09147068773016831,0.7
45,0.690943214971152,0.026729756972757333,0.038685895444929355,0.10708907072953078,0.08631508547552713,0.7
50,0.6892979757757925,0.02820429269532975,0.040917416975708255,0.10835310806050957,0.08948161016516654,0.7
