n_raters,mean_ci_width,sd_ci_width,median_ci_width,true_kappa
5,0.13527652596392703,0.009953943876819615,0.13527673889716507,0.4
10,0.09433896017593954,0.007882776873915826,0.09352632623846996,0.4
15,0.07781119777357054,0.007155687759914575,0.07746111193451669,0.4
20,0.06814443539334089,0.006736477590658833,0.06784796352389433,0.4
25,0.06208644333429786,0.006839519841878033,0.061349332711833376,0.4
30,0.05667500437696373,0.006500754492507212,0.055930620364676525,0.4
35,0.05375425780104645,0.00621951235409252,0.05280970220219214,0.4
40,0.051133411316211366,0.006942065187481485,0.049831210303664636,0.4
45,0.04871032285820655,0.006719629590579888,0.04746950641105596,0.4
50,0.04702089438897127,0.006580621001965484,0.045846315278959465,0.4
5,0.1377157168064098,0.009491158904061612,0.13771378052675246,0.5
10,0.0969874634360003,0.007852640501241714,0.09667540201510097,0.5
15,0.08021339648738866,0.007687351035063628,0.07952763184893999,0.5
20,0.07058142075981394,0.007538411649978915,0.06982651866281733,0.5
25,0.06396472938549695,0.007006892606199817,0.06331207555904994,0.5
30,0.05948851381455194,0.006993690512643436,0.058270202906357066,0.5
35,0.056277835982483246,0.007774219333711484,0.054795661389215655,0.5
40,0.052654867513938726,0.006642042630291947,0.05160816436157642,0.5
45,0.050558731285110084,0.00766384422750679,0.049047896236427385,0.5
50,0.04885555094436199,0.007514642665746363,0.0471285390579331,0.5
5,0.13600573516046705,0.008991491050026982,0.13574569203860176,0.6
10,0.09610910201867086,0.007860133253604384,0.09552683825292532,0.6
15,0.07964859152079141,0.007666718949137187,0.07895377975091528,0.6
20,0.070385794156612,0.007746731508430903,0.06949434430354995,0.6
25,0.06349417055228851,0.006862421400291567,0.06281118304361155,0.6
30,0.058822107058375976,0.00702353167146537,0.05795116433643055,0.6
35,0.055294184570599675,0.007291795533223383,0.0542212456031968,0.6
40,0.05228263958270594,0.006970179489765496,0.050923084156711484,0.6
45,0.05052175402963754,0.007592822084069615,0.0489349783399482,0.6
50,0.04812651348175221,0.0076198307242451024,0.046846239531422584,0.6
5,0.12868692575349067,0.00944919027053761,0.12814501043079968,0.7
10,0.09145862196422468,0.008427434819079111,0.09076283618353137,0.7
15,0.07558742417495168,0.007648901905479041,0.07483250377141554,0.7
20,0.06638943092297594,0.007211245869457961,0.06560818293560489,0.7
25,0.0597451491101653,0.006735805747924935,0.058846600611035416,0.7
30,0.055798098760988936,0.006926233175609315,0.054948314436179535,0.7
35,0.05206336300691984,0.007016359357188935,0.05071050859975812,0.7
40,0.04959891274322217,0.007318876547829369,0.04819044336698197,0.7
45,0.04715385675076227,0.007260876370939882,0.0459327121913069,0.7
50,0.045473046983637355,0.007017947336366661,0.044018132273150656,0.7
